id,ordem_doc,arquivo_fonte,norma_id,norma_titulo,norma_nome_popular,macrogrupo,grupo_sumario,pagina_inicial,pagina_final,hierarquia_normativa,tipo_dispositivo,dispositivo,dispositivo_pai,artigo,paragrafo,inciso,alinea,item,texto_dispositivo,notas_texto,notas_json,qtd_notas,referencias_normativas,referencias_jurisprudenciais,referencias_sumulas,texto_rag,resumo_curto,palavras_chave,incluir_no_rag,chars,tokens_estimados,row_key,csv_arquivo,dispositivo_pai_id,dispositivo_pai_row_key
1,1,Codigo_Eleitoral_2026_anotado.pdf,lei_4737_1965,"Lei n. 4.737, de 15 de julho de 1965",Código Eleitoral,Código Eleitoral,Código Eleitoral,27,27,,norma,"Lei n. 4.737, de 15 de julho de 1965",,,,,,,"Institui o Código Eleitoral. O PRESIDENTE DA REPÚBLICA Faço saber que sanciono a seguinte lei, aprovada pelo Congresso Nacional, nos termos do art. 4º, caput, do Ato Institucional de 9 de abril de 1964:",,[],0,,,,"Documento: Codigo Eleitoral 2026 anotado Norma: Lei n. 4.737, de 15 de julho de 1965 Nome popular/citação curta: Código Eleitoral Macrogrupo: Código Eleitoral Grupo do sumário: Código Eleitoral Dispositivo: Lei n. 4.737, de 15 de julho de 1965 Tipo: norma Páginas: 27-27 Resumo: Norma Código Eleitoral: Institui o Código Eleitoral. Institui o Código Eleitoral. O PRESIDENTE DA REPÚBLICA Faço saber que sanciono a seguinte lei, aprovada pelo Congresso Nacional, nos termos do art. 4º, caput, do Ato Institucional de 9 de abril de 1964:",Norma Código Eleitoral: Institui o Código Eleitoral.,julho; institui; codigo; eleitoral; presidente; republica; faco; saber; sanciono; seguinte,True,534,134,001_lei_4737_1965_codigo_eleitoral:1,001_lei_4737_1965_codigo_eleitoral.csv,,
2,2,Codigo_Eleitoral_2026_anotado.pdf,lei_4737_1965,"Lei n. 4.737, de 15 de julho de 1965",Código Eleitoral,Código Eleitoral,Código Eleitoral,27,27,PARTE PRIMEIRA,estrutura,PARTE PRIMEIRA,,,,,,,PARTE PRIMEIRA,,[],0,,,,"Documento: Codigo Eleitoral 2026 anotado Norma: Lei n. 4.737, de 15 de julho de 1965 Nome popular/citação curta: Código Eleitoral Macrogrupo: Código Eleitoral Grupo do sumário: Código Eleitoral Dispositivo: PARTE PRIMEIRA Tipo: estrutura Hierarquia: PARTE PRIMEIRA Páginas: 27-27 Resumo: Estrutura da Código Eleitoral PARTE PRIMEIRA",Estrutura da Código Eleitoral,parte; primeira; julho,True,332,83,001_lei_4737_1965_codigo_eleitoral:2,001_lei_4737_1965_codigo_eleitoral.csv,,
3,3,Codigo_Eleitoral_2026_anotado.pdf,lei_4737_1965,"Lei n. 4.737, de 15 de julho de 1965",Código Eleitoral,Código Eleitoral,Código Eleitoral,27,27,PARTE PRIMEIRA > INTRODUÇÃO,estrutura,INTRODUÇÃO,,,,,,,INTRODUÇÃO,,[],0,,,,"Documento: Codigo Eleitoral 2026 anotado Norma: Lei n. 4.737, de 15 de julho de 1965 Nome popular/citação curta: Código Eleitoral Macrogrupo: Código Eleitoral Grupo do sumário: Código Eleitoral Dispositivo: INTRODUÇÃO Tipo: estrutura Hierarquia: PARTE PRIMEIRA > INTRODUÇÃO Páginas: 27-27 Resumo: Estrutura da Código Eleitoral INTRODUÇÃO",Estrutura da Código Eleitoral,introducao; julho; parte; primeira,True,337,84,001_lei_4737_1965_codigo_eleitoral:3,001_lei_4737_1965_codigo_eleitoral.csv,,
4,4,Codigo_Eleitoral_2026_anotado.pdf,lei_4737_1965,"Lei n. 4.737, de 15 de julho de 1965",Código Eleitoral,Código Eleitoral,Código Eleitoral,27,27,PARTE PRIMEIRA > INTRODUÇÃO,artigo,Art. 1º,,Art. 1º,,,,,Art. 1º Este código contém normas destinadas a assegurar a organização e o exercício de direitos políticos precipuamente os de votar e ser votado.,,[],0,,,,"Documento: Codigo Eleitoral 2026 anotado Norma: Lei n. 4.737, de 15 de julho de 1965 Nome popular/citação curta: Código Eleitoral Macrogrupo: Código Eleitoral Grupo do sumário: Código Eleitoral Dispositivo: Art. 1º Tipo: artigo Hierarquia: PARTE PRIMEIRA > INTRODUÇÃO Páginas: 27-27 Resumo: Art. 1º: Este código contém normas destinadas a assegurar a organização e o exercício de direitos políticos precipuamente os de votar e ser votado. Art. 1º Este código contém normas destinadas a assegurar a organização e o exercício de direitos políticos precipuamente os de votar e ser votado.",Art. 1º: Este código contém normas destinadas a assegurar a organização e o exercício de direitos políticos precipuamente os de votar e ser votado.,julho; parte; primeira; introducao; este; codigo; contem; normas; destinadas; assegurar,True,585,146,001_lei_4737_1965_codigo_eleitoral:4,001_lei_4737_1965_codigo_eleitoral.csv,,
5,5,Codigo_Eleitoral_2026_anotado.pdf,lei_4737_1965,"Lei n. 4.737, de 15 de julho de 1965",Código Eleitoral,Código Eleitoral,Código Eleitoral,27,27,PARTE PRIMEIRA > INTRODUÇÃO,paragrafo,"Art. 1º, Parágrafo único",Art. 1º,Art. 1º,Parágrafo único,,,,Parágrafo único. O Tribunal Superior Eleitoral expedirá instruções para sua fiel execução.,V. art. 23-A deste código: veda ao TSE tratar de matéria relativa à organização dos partidos políticos.,"[{""ordem"": 1, ""marcador"": ""quadrado"", ""texto"": ""V. art. 23-A deste código: veda ao TSE tratar de matéria relativa à organização dos partidos políticos."", ""pagina_inicial"": 27, ""pagina_final"": 27}]",1,,,,"Documento: Codigo Eleitoral 2026 anotado Norma: Lei n. 4.737, de 15 de julho de 1965 Nome popular/citação curta: Código Eleitoral Macrogrupo: Código Eleitoral Grupo do sumário: Código Eleitoral Dispositivo: Art. 1º, Parágrafo único Tipo: paragrafo Hierarquia: PARTE PRIMEIRA > INTRODUÇÃO Dispositivo pai: Art. 1º ID do dispositivo pai: 001_lei_4737_1965_codigo_eleitoral:4 Páginas: 27-27 Resumo: Art. 1º, Parágrafo único: O Tribunal Superior Eleitoral expedirá instruções para sua fiel execução. | 1 nota(s) vinculada(s) Parágrafo único. O Tribunal Superior Eleitoral expedirá instruções para sua fiel execução. Notas vinculadas: V. art. 23-A deste código: veda ao TSE tratar de matéria relativa à organização dos partidos políticos.","Art. 1º, Parágrafo único: O Tribunal Superior Eleitoral expedirá instruções para sua fiel execução. | 1 nota(s) vinculada(s)",paragrafo; unico; julho; parte; primeira; introducao; tribunal; superior; eleitoral; expedira,True,733,183,001_lei_4737_1965_codigo_eleitoral:5,001_lei_4737_1965_codigo_eleitoral.csv,4,001_lei_4737_1965_codigo_eleitoral:4
6,6,Codigo_Eleitoral_2026_anotado.pdf,lei_4737_1965,"Lei n. 4.737, de 15 de julho de 1965",Código Eleitoral,Código Eleitoral,Código Eleitoral,27,27,PARTE PRIMEIRA > INTRODUÇÃO,artigo,Art. 2º,,Art. 2º,,,,,"Art. 2º Todo poder emana do povo e será exercido, em seu nome, por mandatários escolhidos, direta e secretamente, dentre candidatos indicados por partidos políticos nacionais, ressalvada a eleição indireta nos casos previstos na Constituição e leis específicas.","CF/1988, art. 1º, parágrafo único: poder exercido pelo povo, por meio de representantes eleitos ou diretamente.
CF/1988, art. 14, caput: voto direto e secreto; e art. 81, § 1º: caso de eleição pelo Congresso Nacional.","[{""ordem"": 1, ""marcador"": ""ticado"", ""texto"": ""CF/1988, art. 1º, parágrafo único: poder exercido pelo povo, por meio de representantes eleitos ou diretamente."", ""pagina_inicial"": 27, ""pagina_final"": 27}, {""ordem"": 2, ""marcador"": ""ticado"", ""texto"": ""CF/1988, art. 14, caput: voto direto e secreto; e art. 81, § 1º: caso de eleição pelo Congresso Nacional."", ""pagina_inicial"": 27, ""pagina_final"": 27}]",2,"CF/1988, art. 1º, parágrafo único: poder exercido pelo povo, por meio de representantes eleitos ou diretamente; CF/1988, art. 14, caput: voto direto e secreto",,,"Documento: Codigo Eleitoral 2026 anotado Norma: Lei n. 4.737, de 15 de julho de 1965 Nome popular/citação curta: Código Eleitoral Macrogrupo: Código Eleitoral Grupo do sumário: Código Eleitoral Dispositivo: Art. 2º Tipo: artigo Hierarquia: PARTE PRIMEIRA > INTRODUÇÃO Páginas: 27-27 Resumo: Art. 2º: Todo poder emana do povo e será exercido, em seu nome, por mandatários escolhidos, direta e secretamente, dentre candidatos indicados por partidos políticos nacionais, ressalvada a eleição indireta nos casos previstos na Constituição e leis específicas. | 2 nota(s) vinculada(s) Art. 2º Todo poder emana do povo e será exercido, em seu nome, por mandatários escolhidos, direta e secretamente, dentre candidatos indicados por partidos políticos nacionais, ressalvada a eleição indireta nos casos previstos na Constituição e leis específicas. Notas vinculadas: CF/1988, art. 1º, parágrafo único: poder exercido pelo povo, por meio de representantes eleitos ou diretamente. CF/1988, art. 14, caput: voto direto e secreto; e art. 81, § 1º: caso de eleição pelo Congresso Nacional.","Art. 2º: Todo poder emana do povo e será exercido, em seu nome, por mandatários escolhidos, direta e secretamente, dentre candidatos indicados por partidos políticos nacionais, ressalvada a eleição indireta nos casos previstos na Constituição e leis específicas. | 2 nota(s) vinculada(s)",poder; povo; exercido; eleicao; julho; parte; primeira; introducao; todo; emana,True,1076,269,001_lei_4737_1965_codigo_eleitoral:6,001_lei_4737_1965_codigo_eleitoral.csv,,
7,7,Codigo_Eleitoral_2026_anotado.pdf,lei_4737_1965,"Lei n. 4.737, de 15 de julho de 1965",Código Eleitoral,Código Eleitoral,Código Eleitoral,27,27,PARTE PRIMEIRA > INTRODUÇÃO,artigo,Art. 3º,,Art. 3º,,,,,"Art. 3º Qualquer cidadão pode pretender investidura em cargo eletivo, respeitadas as condições constitucionais e legais de elegibilidade e incompatibilidade.","CF/1988, art. 14, §§ 3º e 8º: condições de elegibilidade.
CF/1988, art. 14, §§ 4º, 6º e 7º, e LC n. 64/1990, art. 1º, com as alterações dadas pela LC n. 135/2010: causas de inelegibilidade.","[{""ordem"": 1, ""marcador"": ""ticado"", ""texto"": ""CF/1988, art. 14, §§ 3º e 8º: condições de elegibilidade."", ""pagina_inicial"": 27, ""pagina_final"": 27}, {""ordem"": 2, ""marcador"": ""ticado"", ""texto"": ""CF/1988, art. 14, §§ 4º, 6º e 7º, e LC n. 64/1990, art. 1º, com as alterações dadas pela LC n. 135/2010: causas de inelegibilidade."", ""pagina_inicial"": 27, ""pagina_final"": 27}]",2,"CF/1988, art. 14, §§ 3º e 8º: condições de elegibilidade; CF/1988, art. 14, §§ 4º, 6º e 7º, e LC n; LC n. 64/1990; LC n. 135/2010",,,"Documento: Codigo Eleitoral 2026 anotado Norma: Lei n. 4.737, de 15 de julho de 1965 Nome popular/citação curta: Código Eleitoral Macrogrupo: Código Eleitoral Grupo do sumário: Código Eleitoral Dispositivo: Art. 3º Tipo: artigo Hierarquia: PARTE PRIMEIRA > INTRODUÇÃO Páginas: 27-27 Resumo: Art. 3º: Qualquer cidadão pode pretender investidura em cargo eletivo, respeitadas as condições constitucionais e legais de elegibilidade e incompatibilidade. | 2 nota(s) vinculada(s) Art. 3º Qualquer cidadão pode pretender investidura em cargo eletivo, respeitadas as condições constitucionais e legais de elegibilidade e incompatibilidade. Notas vinculadas: CF/1988, art. 14, §§ 3º e 8º: condições de elegibilidade. CF/1988, art. 14, §§ 4º, 6º e 7º, e LC n. 64/1990, art. 1º, com as alterações dadas pela LC n. 135/2010: causas de inelegibilidade.","Art. 3º: Qualquer cidadão pode pretender investidura em cargo eletivo, respeitadas as condições constitucionais e legais de elegibilidade e incompatibilidade. | 2 nota(s) vinculada(s)",condicoes; elegibilidade; julho; parte; primeira; introducao; qualquer; cidadao; pode; pretender,True,840,210,001_lei_4737_1965_codigo_eleitoral:7,001_lei_4737_1965_codigo_eleitoral.csv,,
8,8,Codigo_Eleitoral_2026_anotado.pdf,lei_4737_1965,"Lei n. 4.737, de 15 de julho de 1965",Código Eleitoral,Código Eleitoral,Código Eleitoral,27,27,PARTE PRIMEIRA > INTRODUÇÃO,artigo,Art. 4º,,Art. 4º,,,,,Art. 4º São eleitores os brasileiros maiores de 18 anos que se alistarem na forma da lei.,"CF/1988, art. 14, § 1º, II, c: admissão do alistamento facultativo aos maiores de 16 e menores de 18 anos; art. 14, § 1º, I e II: obrigatoriedade/facultatividade do alistamento e do voto.","[{""ordem"": 1, ""marcador"": ""ticado"", ""texto"": ""CF/1988, art. 14, § 1º, II, c: admissão do alistamento facultativo aos maiores de 16 e menores de 18 anos; art. 14, § 1º, I e II: obrigatoriedade/facultatividade do alistamento e do voto."", ""pagina_inicial"": 27, ""pagina_final"": 27}]",1,"CF/1988, art. 14, § 1º, II, c: admissão do alistamento facultativo aos maiores de 16 e menores de 18 anos",,,"Documento: Codigo Eleitoral 2026 anotado Norma: Lei n. 4.737, de 15 de julho de 1965 Nome popular/citação curta: Código Eleitoral Macrogrupo: Código Eleitoral Grupo do sumário: Código Eleitoral Dispositivo: Art. 4º Tipo: artigo Hierarquia: PARTE PRIMEIRA > INTRODUÇÃO Páginas: 27-27 Resumo: Art. 4º: São eleitores os brasileiros maiores de 18 anos que se alistarem na forma da lei. | 1 nota(s) vinculada(s) Art. 4º São eleitores os brasileiros maiores de 18 anos que se alistarem na forma da lei. Notas vinculadas: CF/1988, art. 14, § 1º, II, c: admissão do alistamento facultativo aos maiores de 16 e menores de 18 anos; art. 14, § 1º, I e II: obrigatoriedade/facultatividade do alistamento e do voto.",Art. 4º: São eleitores os brasileiros maiores de 18 anos que se alistarem na forma da lei. | 1 nota(s) vinculada(s),maiores; anos; alistamento; julho; parte; primeira; introducao; eleitores; brasileiros; alistarem,True,702,176,001_lei_4737_1965_codigo_eleitoral:8,001_lei_4737_1965_codigo_eleitoral.csv,,
9,9,Codigo_Eleitoral_2026_anotado.pdf,lei_4737_1965,"Lei n. 4.737, de 15 de julho de 1965",Código Eleitoral,Código Eleitoral,Código Eleitoral,27,27,PARTE PRIMEIRA > INTRODUÇÃO,artigo,Art. 5º,,Art. 5º,,,,,Art. 5º Não podem alistar-se eleitores:,"CF/1988, art. 14, § 2º: alistamento vedado aos estrangeiros e aos conscritos.","[{""ordem"": 1, ""marcador"": ""quadrado"", ""texto"": ""CF/1988, art. 14, § 2º: alistamento vedado aos estrangeiros e aos conscritos."", ""pagina_inicial"": 27, ""pagina_final"": 27}]",1,"CF/1988, art. 14, § 2º: alistamento vedado aos estrangeiros e aos conscritos",,,"Documento: Codigo Eleitoral 2026 anotado Norma: Lei n. 4.737, de 15 de julho de 1965 Nome popular/citação curta: Código Eleitoral Macrogrupo: Código Eleitoral Grupo do sumário: Código Eleitoral Dispositivo: Art. 5º Tipo: artigo Hierarquia: PARTE PRIMEIRA > INTRODUÇÃO Páginas: 27-27 Resumo: Art. 5º: Não podem alistar-se eleitores: | 1 nota(s) vinculada(s) Art. 5º Não podem alistar-se eleitores: Notas vinculadas: CF/1988, art. 14, § 2º: alistamento vedado aos estrangeiros e aos conscritos.",Art. 5º: Não podem alistar-se eleitores: | 1 nota(s) vinculada(s),julho; parte; primeira; introducao; podem; alistar; eleitores; alistamento; vedado; estrangeiros,True,492,123,001_lei_4737_1965_codigo_eleitoral:9,001_lei_4737_1965_codigo_eleitoral.csv,,
10,10,Codigo_Eleitoral_2026_anotado.pdf,lei_4737_1965,"Lei n. 4.737, de 15 de julho de 1965",Código Eleitoral,Código Eleitoral,Código Eleitoral,27,27,PARTE PRIMEIRA > INTRODUÇÃO,inciso,"Art. 5º, I",Art. 5º,Art. 5º,,I,,,I - os analfabetos;,"CF/1988, art. 14, § 1º, II, a: alistamento e voto facultativos aos analfabetos. Ac.-TSE n. 23291/2004: este dispositivo não foi recepcionado pela CF/1988.","[{""ordem"": 1, ""marcador"": ""ticado"", ""texto"": ""CF/1988, art. 14, § 1º, II, a: alistamento e voto facultativos aos analfabetos. Ac.-TSE n. 23291/2004: este dispositivo não foi recepcionado pela CF/1988."", ""pagina_inicial"": 27, ""pagina_final"": 27}]",1,"CF/1988, art. 14, § 1º, II, a: alistamento e voto facultativos aos analfabetos; CF/1988",Ac.-TSE n. 23291/2004,,"Documento: Codigo Eleitoral 2026 anotado Norma: Lei n. 4.737, de 15 de julho de 1965 Nome popular/citação curta: Código Eleitoral Macrogrupo: Código Eleitoral Grupo do sumário: Código Eleitoral Dispositivo: Art. 5º, I Tipo: inciso Hierarquia: PARTE PRIMEIRA > INTRODUÇÃO Dispositivo pai: Art. 5º ID do dispositivo pai: 001_lei_4737_1965_codigo_eleitoral:9 Páginas: 27-27 Resumo: Art. 5º, I, subordinado a Art. 5º: os analfabetos; | 1 nota(s) vinculada(s); jurisprudência extraída das notas Referências jurisprudenciais: Ac.-TSE n. 23291/2004 I - os analfabetos; Notas vinculadas: CF/1988, art. 14, § 1º, II, a: alistamento e voto facultativos aos analfabetos. Ac.-TSE n. 23291/2004: este dispositivo não foi recepcionado pela CF/1988.","Art. 5º, I, subordinado a Art. 5º: os analfabetos; | 1 nota(s) vinculada(s); jurisprudência extraída das notas",analfabetos; julho; parte; primeira; introducao; alistamento; voto; facultativos; este; dispositivo,True,734,184,001_lei_4737_1965_codigo_eleitoral:10,001_lei_4737_1965_codigo_eleitoral.csv,9,001_lei_4737_1965_codigo_eleitoral:9
11,11,Codigo_Eleitoral_2026_anotado.pdf,lei_4737_1965,"Lei n. 4.737, de 15 de julho de 1965",Código Eleitoral,Código Eleitoral,Código Eleitoral,27,27,PARTE PRIMEIRA > INTRODUÇÃO,inciso,"Art. 5º, II",Art. 5º,Art. 5º,,II,,,II - os que não saibam exprimir-se na língua nacional;,"V. Res.-TSE n. 23274/2010: este dispositivo não
foi recepcionado pela CF/1988.","[{""ordem"": 1, ""marcador"": ""continuação"", ""texto"": ""V. Res.-TSE n. 23274/2010: este dispositivo não"", ""pagina_inicial"": 27, ""pagina_final"": 27}, {""ordem"": 2, ""marcador"": ""quadrado"", ""texto"": ""foi recepcionado pela CF/1988."", ""pagina_inicial"": 27, ""pagina_final"": 27}]",2,CF/1988; Res.-TSE n. 23274/2010,,,"Documento: Codigo Eleitoral 2026 anotado Norma: Lei n. 4.737, de 15 de julho de 1965 Nome popular/citação curta: Código Eleitoral Macrogrupo: Código Eleitoral Grupo do sumário: Código Eleitoral Dispositivo: Art. 5º, II Tipo: inciso Hierarquia: PARTE PRIMEIRA > INTRODUÇÃO Dispositivo pai: Art. 5º ID do dispositivo pai: 001_lei_4737_1965_codigo_eleitoral:9 Páginas: 27-27 Resumo: Art. 5º, II, subordinado a Art. 5º: os que não saibam exprimir-se na língua nacional; | 2 nota(s) vinculada(s) II - os que não saibam exprimir-se na língua nacional; Notas vinculadas: V. Res.-TSE n. 23274/2010: este dispositivo não foi recepcionado pela CF/1988.","Art. 5º, II, subordinado a Art. 5º: os que não saibam exprimir-se na língua nacional; | 2 nota(s) vinculada(s)",julho; parte; primeira; introducao; saibam; exprimir; lingua; nacional; este; dispositivo,True,642,160,001_lei_4737_1965_codigo_eleitoral:11,001_lei_4737_1965_codigo_eleitoral.csv,9,001_lei_4737_1965_codigo_eleitoral:9
12,12,Codigo_Eleitoral_2026_anotado.pdf,lei_4737_1965,"Lei n. 4.737, de 15 de julho de 1965",Código Eleitoral,Código Eleitoral,Código Eleitoral,27,27,PARTE PRIMEIRA > INTRODUÇÃO,inciso,"Art. 5º, III",Art. 5º,Art. 5º,,III,,,"III - os que estejam privados, temporária ou definitivamente, dos direitos políticos.","CF/1988, art. 15: casos de perda ou de suspensão de direitos políticos.","[{""ordem"": 1, ""marcador"": ""quadrado"", ""texto"": ""CF/1988, art. 15: casos de perda ou de suspensão de direitos políticos."", ""pagina_inicial"": 27, ""pagina_final"": 27}]",1,"CF/1988, art. 15: casos de perda ou de suspensão de direitos políticos",,,"Documento: Codigo Eleitoral 2026 anotado Norma: Lei n. 4.737, de 15 de julho de 1965 Nome popular/citação curta: Código Eleitoral Macrogrupo: Código Eleitoral Grupo do sumário: Código Eleitoral Dispositivo: Art. 5º, III Tipo: inciso Hierarquia: PARTE PRIMEIRA > INTRODUÇÃO Dispositivo pai: Art. 5º ID do dispositivo pai: 001_lei_4737_1965_codigo_eleitoral:9 Páginas: 27-27 Resumo: Art. 5º, III, subordinado a Art. 5º: os que estejam privados, temporária ou definitivamente, dos direitos políticos. | 1 nota(s) vinculada(s) III - os que estejam privados, temporária ou definitivamente, dos direitos políticos. Notas vinculadas: CF/1988, art. 15: casos de perda ou de suspensão de direitos políticos.","Art. 5º, III, subordinado a Art. 5º: os que estejam privados, temporária ou definitivamente, dos direitos políticos. | 1 nota(s) vinculada(s)",direitos; politicos; julho; parte; primeira; introducao; estejam; privados; temporaria; definitivamente,True,698,174,001_lei_4737_1965_codigo_eleitoral:12,001_lei_4737_1965_codigo_eleitoral.csv,9,001_lei_4737_1965_codigo_eleitoral:9
13,13,Codigo_Eleitoral_2026_anotado.pdf,lei_4737_1965,"Lei n. 4.737, de 15 de julho de 1965",Código Eleitoral,Código Eleitoral,Código Eleitoral,28,28,PARTE PRIMEIRA > INTRODUÇÃO,inciso,"Art. 5º, IV",Art. 5º,Art. 5º,,IV,,,"IV - as pessoas recolhidas a estabelecimento prisional, enquanto perdurar a privação de liberdade, ainda que sem condenação definitiva.",Inciso IV acrescido pelo art. 40 da Lei n. 15.358/2026.,"[{""ordem"": 1, ""marcador"": ""quadrado"", ""texto"": ""Inciso IV acrescido pelo art. 40 da Lei n. 15.358/2026."", ""pagina_inicial"": 28, ""pagina_final"": 28}]",1,Lei n. 15.358/2026,,,"Documento: Codigo Eleitoral 2026 anotado Norma: Lei n. 4.737, de 15 de julho de 1965 Nome popular/citação curta: Código Eleitoral Macrogrupo: Código Eleitoral Grupo do sumário: Código Eleitoral Dispositivo: Art. 5º, IV Tipo: inciso Hierarquia: PARTE PRIMEIRA > INTRODUÇÃO Dispositivo pai: Art. 5º ID do dispositivo pai: 001_lei_4737_1965_codigo_eleitoral:9 Páginas: 28-28 Resumo: Art. 5º, IV, subordinado a Art. 5º: as pessoas recolhidas a estabelecimento prisional, enquanto perdurar a privação de liberdade, ainda que sem condenação definitiva. | 1 nota(s) vinculada(s) IV - as pessoas recolhidas a estabelecimento prisional, enquanto perdurar a privação de liberdade, ainda que sem condenação definitiva. Notas vinculadas: Inciso IV acrescido pelo art. 40 da Lei n. 15.358/2026.","Art. 5º, IV, subordinado a Art. 5º: as pessoas recolhidas a estabelecimento prisional, enquanto perdurar a privação de liberdade, ainda que sem condenação definitiva. | 1 nota(s) vinculada(s)",julho; parte; primeira; introducao; pessoas; recolhidas; estabelecimento; prisional; enquanto; perdurar,True,781,195,001_lei_4737_1965_codigo_eleitoral:13,001_lei_4737_1965_codigo_eleitoral.csv,9,001_lei_4737_1965_codigo_eleitoral:9
14,14,Codigo_Eleitoral_2026_anotado.pdf,lei_4737_1965,"Lei n. 4.737, de 15 de julho de 1965",Código Eleitoral,Código Eleitoral,Código Eleitoral,28,28,PARTE PRIMEIRA > INTRODUÇÃO,paragrafo,"Art. 5º, Parágrafo único",Art. 5º,Art. 5º,Parágrafo único,,,,"Parágrafo único. Os militares são alistáveis, desde que oficiais, aspirantes a oficiais, guardas-marinha, subtenentes ou suboficiais, sargentos ou alunos das escolas militares de ensino superior para formação de oficiais.","CF/1988, art. 14, § 2º: alistamento vedado apenas aos conscritos, durante o serviço militar obrigatório; e § 8º: condições de elegibilidade do militar; Res.-TSE n. 15850/1989: a palavra “conscritos” alcança também aqueles matriculados nos órgãos de formação de reserva e médicos, dentistas, farmacêuticos e veterinários que prestam serviço militar inicial obrigatório.","[{""ordem"": 1, ""marcador"": ""quadrado"", ""texto"": ""CF/1988, art. 14, § 2º: alistamento vedado apenas aos conscritos, durante o serviço militar obrigatório; e § 8º: condições de elegibilidade do militar; Res.-TSE n. 15850/1989: a palavra “conscritos” alcança também aqueles matriculados nos órgãos de formação de reserva e médicos, dentistas, farmacêuticos e veterinários que prestam serviço militar inicial obrigatório."", ""pagina_inicial"": 28, ""pagina_final"": 28}]",1,"CF/1988, art. 14, § 2º: alistamento vedado apenas aos conscritos, durante o serviço militar obrigatório; Res.-TSE n. 15850/1989",,,"Documento: Codigo Eleitoral 2026 anotado Norma: Lei n. 4.737, de 15 de julho de 1965 Nome popular/citação curta: Código Eleitoral Macrogrupo: Código Eleitoral Grupo do sumário: Código Eleitoral Dispositivo: Art. 5º, Parágrafo único Tipo: paragrafo Hierarquia: PARTE PRIMEIRA > INTRODUÇÃO Dispositivo pai: Art. 5º ID do dispositivo pai: 001_lei_4737_1965_codigo_eleitoral:9 Páginas: 28-28 Resumo: Art. 5º, Parágrafo único: Os militares são alistáveis, desde que oficiais, aspirantes a oficiais, guardas-marinha, subtenentes ou suboficiais, sargentos ou alunos das escolas militares de ensino superior para formação de oficiais. | 1 nota(s) vinculada(s) Parágrafo único. Os militares são alistáveis, desde que oficiais, aspirantes a oficiais, guardas-marinha, subtenentes ou suboficiais, sargentos ou alunos das escolas militares de ensino superior para formação de oficiais. Notas vinculadas: CF/1988, art. 14, § 2º: alistamento vedado apenas aos conscritos, durante o serviço militar obrigatório; e § 8º: condições de elegibilidade do militar; Res.-TSE n. 15850/1989: a palavra “conscritos” alcança também aqueles matriculados nos órgãos de formação de reserva e médicos, dentistas, farmacêuticos e veterinários que prestam serviço militar inicial obrigatório.","Art. 5º, Parágrafo único: Os militares são alistáveis, desde que oficiais, aspirantes a oficiais, guardas-marinha, subtenentes ou suboficiais, sargentos ou alunos das escolas militares de ensino superior para formação de oficiais. | 1 nota(s) vinculada(s)",oficiais; militar; paragrafo; unico; militares; formacao; conscritos; servico; obrigatorio; julho,True,1260,315,001_lei_4737_1965_codigo_eleitoral:14,001_lei_4737_1965_codigo_eleitoral.csv,9,001_lei_4737_1965_codigo_eleitoral:9
